cd_uf;uf;cd_cidade;cidade;dt_eleicao;cd_classificacao;classificacaoAtor;nome;apelido;tipoAtor;tipoDocumento;numeroDocumento;cd_partido;sg_partido;partido;cd_uf_nascimento;uf_nascimento;cd_cidade_nascimento;cidade_nascimento;dataNascimento;genero;cd_escolaridade;escolaridade;cd_estadoCivil;estadoCivil;cd_corRaca;corRaca;cd_ocupacao;ocupacao;importancia;favorabilidade
;;;;;;PARTIDO POLÍTICO;AGIR;AGIR;PESSOA_JURIDICA;CNPJ;32206989000180;36;AGIR;AGIR;53;DF;5300108;BRASÍLIA;;;;;;;;;;;ALTA;NEUTRO
;;;;;;PARTIDO POLÍTICO;AVANTE;AVANTE;PESSOA_JURIDICA;CNPJ;59933952000100;70;AVANTE;AVANTE;53;DF;5300108;BRASÍLIA;;;;;;;;;;;ALTA;NEUTRO
;;;;;;PARTIDO POLÍTICO;CIDADANIA;CIDADANIA;PESSOA_JURIDICA;CNPJ;29417359000140;23;CIDADANIA;CIDADANIA;53;DF;5300108;BRASÍLIA;;;;;;;;;;;ALTA;NEUTRO
;;;;;;PARTIDO POLÍTICO;DEMOCRACIA CRISTÃ;DC;PESSOA_JURIDICA;CNPJ;01127628000115;27;DC;DEMOCRACIA CRISTÃ;53;DF;5300108;BRASÍLIA;;;;;;;;;;;ALTA;NEUTRO
;;;;;;PARTIDO POLÍTICO;DEMOCRATAS;DEM;PESSOA_JURIDICA;CNPJ;01633510000169;25;DEM;DEMOCRATAS;53;DF;5300108;BRASÍLIA;;;;;;;;;;;ALTA;NEUTRO
;;;;;;PARTIDO POLÍTICO;MOVIMENTO DEMOCRÁTICO BRASILEIRO;MDB;PESSOA_JURIDICA;CNPJ;00676213000138;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;53;DF;5300108;BRASÍLIA;;;;;;;;;;;ALTA;NEUTRO
;;;;;;PARTIDO POLÍTICO;PARTIDO NOVO;NOVO;PESSOA_JURIDICA;CNPJ;13405866000124;30;NOVO;PARTIDO NOVO;53;DF;5300108;BRASÍLIA;;;;;;;;;;;ALTA;NEUTRO
;;;;;;PARTIDO POLÍTICO;PATRIOTA;PATRIOTA;PESSOA_JURIDICA;CNPJ;08950803000119;51;PATRIOTA;PATRIOTA;53;DF;5300108;BRASÍLIA;;;;;;;;;;;ALTA;NEUTRO
;;;;;;PARTIDO POLÍTICO;PARTIDO COMUNISTA DO BRASIL;PC do B;PESSOA_JURIDICA;CNPJ;54956495000156;65;PC do B;PARTIDO COMUNISTA DO BRASIL;53;DF;5300108;BRASÍLIA;;;;;;;;;;;ALTA;DESFAVORAVEL
;;;;;;PARTIDO POLÍTICO;PARTIDO DEMOCRÁTICO TRABALHISTA;PDT;PESSOA_JURIDICA;CNPJ;00719575000169;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;53;DF;5300108;BRASÍLIA;;;;;;;;;;;ALTA;NEUTRO
